Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,4e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-0.08
,
,
,
Label,
TIME,CH1
-2.00000e+00,nan
-1.99996e+00,nan
-1.99992e+00,nan
-1.99988e+00,nan
-1.99984e+00,nan
-1.99980e+00,nan
-1.99976e+00,nan
-1.99972e+00,nan
-1.99968e+00,nan
-1.99964e+00,nan
-1.99960e+00,nan
-1.99956e+00,nan
-1.99952e+00,nan
-1.99948e+00,nan
-1.99944e+00,nan
-1.99940e+00,nan
-1.99936e+00,nan
-1.99932e+00,nan
-1.99928e+00,nan
-1.99924e+00,nan
-1.99920e+00,nan
-1.99916e+00,nan
-1.99912e+00,nan
-1.99908e+00,nan
-1.99904e+00,nan
-1.99900e+00,nan
-1.99896e+00,nan
-1.99892e+00,nan
-1.99888e+00,nan
-1.99884e+00,nan
-1.99880e+00,nan
-1.99876e+00,nan
-1.99872e+00,nan
-1.99868e+00,nan
-1.99864e+00,nan
-1.99860e+00,nan
-1.99856e+00,nan
-1.99852e+00,nan
-1.99848e+00,nan
-1.99844e+00,nan
-1.99840e+00,nan
-1.99836e+00,nan
-1.99832e+00,nan
-1.99828e+00,nan
-1.99824e+00,nan
-1.99820e+00,nan
-1.99816e+00,nan
-1.99812e+00,nan
-1.99808e+00,nan
-1.99804e+00,nan
-1.99800e+00,nan
-1.99796e+00,nan
-1.99792e+00,nan
-1.99788e+00,nan
-1.99784e+00,nan
-1.99780e+00,nan
-1.99776e+00,nan
-1.99772e+00,nan
-1.99768e+00,nan
-1.99764e+00,nan
-1.99760e+00,nan
-1.99756e+00,nan
-1.99752e+00,nan
-1.99748e+00,nan
-1.99744e+00,nan
-1.99740e+00,nan
-1.99736e+00,nan
-1.99732e+00,nan
-1.99728e+00,nan
-1.99724e+00,nan
-1.99720e+00,nan
-1.99716e+00,nan
-1.99712e+00,nan
-1.99708e+00,nan
-1.99704e+00,nan
-1.99700e+00,nan
-1.99696e+00,nan
-1.99692e+00,nan
-1.99688e+00,nan
-1.99684e+00,nan
-1.99680e+00,nan
-1.99676e+00,nan
-1.99672e+00,nan
-1.99668e+00,nan
-1.99664e+00,nan
-1.99660e+00,nan
-1.99656e+00,nan
-1.99652e+00,nan
-1.99648e+00,nan
-1.99644e+00,nan
-1.99640e+00,nan
-1.99636e+00,nan
-1.99632e+00,nan
-1.99628e+00,nan
-1.99624e+00,nan
-1.99620e+00,nan
-1.99616e+00,nan
-1.99612e+00,nan
-1.99608e+00,nan
-1.99604e+00,nan
-1.99600e+00,nan
-1.99596e+00,nan
-1.99592e+00,nan
-1.99588e+00,nan
-1.99584e+00,nan
-1.99580e+00,nan
-1.99576e+00,nan
-1.99572e+00,nan
-1.99568e+00,nan
-1.99564e+00,nan
-1.99560e+00,nan
-1.99556e+00,nan
-1.99552e+00,nan
-1.99548e+00,nan
-1.99544e+00,nan
-1.99540e+00,nan
-1.99536e+00,nan
-1.99532e+00,nan
-1.99528e+00,nan
-1.99524e+00,nan
-1.99520e+00,nan
-1.99516e+00,nan
-1.99512e+00,nan
-1.99508e+00,nan
-1.99504e+00,nan
-1.99500e+00,nan
-1.99496e+00,nan
-1.99492e+00,nan
-1.99488e+00,nan
-1.99484e+00,nan
-1.99480e+00,nan
-1.99476e+00,nan
-1.99472e+00,nan
-1.99468e+00,nan
-1.99464e+00,nan
-1.99460e+00,nan
-1.99456e+00,nan
-1.99452e+00,nan
-1.99448e+00,nan
-1.99444e+00,nan
-1.99440e+00,nan
-1.99436e+00,nan
-1.99432e+00,nan
-1.99428e+00,nan
-1.99424e+00,nan
-1.99420e+00,nan
-1.99416e+00,nan
-1.99412e+00,nan
-1.99408e+00,nan
-1.99404e+00,nan
-1.99400e+00,nan
-1.99396e+00,nan
-1.99392e+00,nan
-1.99388e+00,nan
-1.99384e+00,nan
-1.99380e+00,nan
-1.99376e+00,nan
-1.99372e+00,nan
-1.99368e+00,nan
-1.99364e+00,nan
-1.99360e+00,nan
-1.99356e+00,nan
-1.99352e+00,nan
-1.99348e+00,nan
-1.99344e+00,nan
-1.99340e+00,nan
-1.99336e+00,nan
-1.99332e+00,nan
-1.99328e+00,nan
-1.99324e+00,nan
-1.99320e+00,nan
-1.99316e+00,nan
-1.99312e+00,nan
-1.99308e+00,nan
-1.99304e+00,nan
-1.99300e+00,nan
-1.99296e+00,nan
-1.99292e+00,nan
-1.99288e+00,nan
-1.99284e+00,nan
-1.99280e+00,nan
-1.99276e+00,nan
-1.99272e+00,nan
-1.99268e+00,nan
-1.99264e+00,nan
-1.99260e+00,nan
-1.99256e+00,nan
-1.99252e+00,nan
-1.99248e+00,nan
-1.99244e+00,nan
-1.99240e+00,nan
-1.99236e+00,nan
-1.99232e+00,nan
-1.99228e+00,nan
-1.99224e+00,nan
-1.99220e+00,nan
-1.99216e+00,nan
-1.99212e+00,nan
-1.99208e+00,nan
-1.99204e+00,nan
-1.99200e+00,nan
-1.99196e+00,nan
-1.99192e+00,nan
-1.99188e+00,nan
-1.99184e+00,nan
-1.99180e+00,nan
-1.99176e+00,nan
-1.99172e+00,nan
-1.99168e+00,nan
-1.99164e+00,nan
-1.99160e+00,nan
-1.99156e+00,nan
-1.99152e+00,nan
-1.99148e+00,nan
-1.99144e+00,nan
-1.99140e+00,nan
-1.99136e+00,nan
-1.99132e+00,nan
-1.99128e+00,nan
-1.99124e+00,nan
-1.99120e+00,nan
-1.99116e+00,nan
-1.99112e+00,nan
-1.99108e+00,nan
-1.99104e+00,nan
-1.99100e+00,nan
-1.99096e+00,nan
-1.99092e+00,nan
-1.99088e+00,nan
-1.99084e+00,nan
-1.99080e+00,nan
-1.99076e+00,nan
-1.99072e+00,nan
-1.99068e+00,nan
-1.99064e+00,nan
-1.99060e+00,nan
-1.99056e+00,nan
-1.99052e+00,nan
-1.99048e+00,nan
-1.99044e+00,nan
-1.99040e+00,nan
-1.99036e+00,nan
-1.99032e+00,nan
-1.99028e+00,nan
-1.99024e+00,nan
-1.99020e+00,nan
-1.99016e+00,nan
-1.99012e+00,nan
-1.99008e+00,nan
-1.99004e+00,nan
-1.99000e+00,nan
-1.98996e+00,nan
-1.98992e+00,nan
-1.98988e+00,nan
-1.98984e+00,nan
-1.98980e+00,nan
-1.98976e+00,nan
-1.98972e+00,nan
-1.98968e+00,nan
-1.98964e+00,nan
-1.98960e+00,nan
-1.98956e+00,nan
-1.98952e+00,nan
-1.98948e+00,nan
-1.98944e+00,nan
-1.98940e+00,nan
-1.98936e+00,nan
-1.98932e+00,nan
-1.98928e+00,nan
-1.98924e+00,nan
-1.98920e+00,nan
-1.98916e+00,nan
-1.98912e+00,nan
-1.98908e+00,nan
-1.98904e+00,nan
-1.98900e+00,nan
-1.98896e+00,nan
-1.98892e+00,nan
-1.98888e+00,nan
-1.98884e+00,nan
-1.98880e+00,nan
-1.98876e+00,nan
-1.98872e+00,nan
-1.98868e+00,nan
-1.98864e+00,nan
-1.98860e+00,nan
-1.98856e+00,nan
-1.98852e+00,nan
-1.98848e+00,nan
-1.98844e+00,nan
-1.98840e+00,nan
-1.98836e+00,nan
-1.98832e+00,nan
-1.98828e+00,nan
-1.98824e+00,nan
-1.98820e+00,nan
-1.98816e+00,nan
-1.98812e+00,nan
-1.98808e+00,nan
-1.98804e+00,nan
-1.98800e+00,nan
-1.98796e+00,nan
-1.98792e+00,nan
-1.98788e+00,nan
-1.98784e+00,nan
-1.98780e+00,nan
-1.98776e+00,nan
-1.98772e+00,nan
-1.98768e+00,nan
-1.98764e+00,nan
-1.98760e+00,nan
-1.98756e+00,nan
-1.98752e+00,nan
-1.98748e+00,nan
-1.98744e+00,nan
-1.98740e+00,nan
-1.98736e+00,nan
-1.98732e+00,nan
-1.98728e+00,nan
-1.98724e+00,nan
-1.98720e+00,nan
-1.98716e+00,nan
-1.98712e+00,nan
-1.98708e+00,nan
-1.98704e+00,nan
-1.98700e+00,nan
-1.98696e+00,nan
-1.98692e+00,nan
-1.98688e+00,nan
-1.98684e+00,nan
-1.98680e+00,nan
-1.98676e+00,nan
-1.98672e+00,nan
-1.98668e+00,nan
-1.98664e+00,nan
-1.98660e+00,nan
-1.98656e+00,nan
-1.98652e+00,nan
-1.98648e+00,nan
-1.98644e+00,nan
-1.98640e+00,nan
-1.98636e+00,nan
-1.98632e+00,nan
-1.98628e+00,nan
-1.98624e+00,nan
-1.98620e+00,nan
-1.98616e+00,nan
-1.98612e+00,nan
-1.98608e+00,nan
-1.98604e+00,nan
-1.98600e+00,nan
-1.98596e+00,nan
-1.98592e+00,nan
-1.98588e+00,nan
-1.98584e+00,nan
-1.98580e+00,nan
-1.98576e+00,nan
-1.98572e+00,nan
-1.98568e+00,nan
-1.98564e+00,nan
-1.98560e+00,nan
-1.98556e+00,nan
-1.98552e+00,nan
-1.98548e+00,nan
-1.98544e+00,nan
-1.98540e+00,nan
-1.98536e+00,nan
-1.98532e+00,nan
-1.98528e+00,nan
-1.98524e+00,nan
-1.98520e+00,nan
-1.98516e+00,nan
-1.98512e+00,nan
-1.98508e+00,nan
-1.98504e+00,nan
-1.98500e+00,nan
-1.98496e+00,nan
-1.98492e+00,nan
-1.98488e+00,nan
-1.98484e+00,nan
-1.98480e+00,nan
-1.98476e+00,nan
-1.98472e+00,nan
-1.98468e+00,nan
-1.98464e+00,nan
-1.98460e+00,nan
-1.98456e+00,nan
-1.98452e+00,nan
-1.98448e+00,nan
-1.98444e+00,nan
-1.98440e+00,nan
-1.98436e+00,nan
-1.98432e+00,nan
-1.98428e+00,nan
-1.98424e+00,nan
-1.98420e+00,nan
-1.98416e+00,nan
-1.98412e+00,nan
-1.98408e+00,nan
-1.98404e+00,nan
-1.98400e+00,nan
-1.98396e+00,nan
-1.98392e+00,nan
-1.98388e+00,nan
-1.98384e+00,nan
-1.98380e+00,nan
-1.98376e+00,nan
-1.98372e+00,nan
-1.98368e+00,nan
-1.98364e+00,nan
-1.98360e+00,nan
-1.98356e+00,nan
-1.98352e+00,nan
-1.98348e+00,nan
-1.98344e+00,nan
-1.98340e+00,nan
-1.98336e+00,nan
-1.98332e+00,nan
-1.98328e+00,nan
-1.98324e+00,nan
-1.98320e+00,nan
-1.98316e+00,nan
-1.98312e+00,nan
-1.98308e+00,nan
-1.98304e+00,nan
-1.98300e+00,nan
-1.98296e+00,nan
-1.98292e+00,nan
-1.98288e+00,nan
-1.98284e+00,nan
-1.98280e+00,nan
-1.98276e+00,nan
-1.98272e+00,nan
-1.98268e+00,nan
-1.98264e+00,nan
-1.98260e+00,nan
-1.98256e+00,nan
-1.98252e+00,nan
-1.98248e+00,nan
-1.98244e+00,nan
-1.98240e+00,nan
-1.98236e+00,nan
-1.98232e+00,nan
-1.98228e+00,nan
-1.98224e+00,nan
-1.98220e+00,nan
-1.98216e+00,nan
-1.98212e+00,nan
-1.98208e+00,nan
-1.98204e+00,nan
-1.98200e+00,nan
-1.98196e+00,nan
-1.98192e+00,nan
-1.98188e+00,nan
-1.98184e+00,nan
-1.98180e+00,nan
-1.98176e+00,nan
-1.98172e+00,nan
-1.98168e+00,nan
-1.98164e+00,nan
-1.98160e+00,nan
-1.98156e+00,nan
-1.98152e+00,nan
-1.98148e+00,nan
-1.98144e+00,nan
-1.98140e+00,nan
-1.98136e+00,nan
-1.98132e+00,nan
-1.98128e+00,nan
-1.98124e+00,nan
-1.98120e+00,nan
-1.98116e+00,nan
-1.98112e+00,nan
-1.98108e+00,nan
-1.98104e+00,nan
-1.98100e+00,nan
-1.98096e+00,nan
-1.98092e+00,nan
-1.98088e+00,nan
-1.98084e+00,nan
-1.98080e+00,nan
-1.98076e+00,nan
